Local time,Open,High,Low,Close,Volume
19.03.2012 00:30:00.000 GMT+0330,125.630,125.630,124.330,124.920,89259
20.03.2012 00:30:00.000 GMT+0330,124.920,124.930,122.800,123.720,104307
21.03.2012 01:30:00.000 GMT+0430,123.720,124.340,123.350,123.530,92317
22.03.2012 01:30:00.000 GMT+0430,123.530,123.710,121.740,122.640,102695
23.03.2012 01:30:00.000 GMT+0430,122.640,126.340,122.530,124.370,101796
24.03.2012 01:30:00.000 GMT+0430,124.370,124.370,124.370,124.370,0
25.03.2012 01:30:00.000 GMT+0430,124.370,124.370,124.370,124.370,0
26.03.2012 01:30:00.000 GMT+0430,124.440,125.190,123.830,125.050,84398
27.03.2012 01:30:00.000 GMT+0430,125.050,125.360,124.130,124.450,101730
28.03.2012 01:30:00.000 GMT+0430,124.450,124.450,122.820,123.600,117747
29.03.2012 01:30:00.000 GMT+0430,123.600,123.890,120.660,121.920,107263
30.03.2012 01:30:00.000 GMT+0430,121.920,123.230,121.780,122.110,106017
31.03.2012 01:30:00.000 GMT+0430,122.110,122.110,122.110,122.110,0
01.04.2012 01:30:00.000 GMT+0430,122.110,122.110,122.040,122.040,0
02.04.2012 01:30:00.000 GMT+0430,122.140,124.990,120.970,124.700,105988
03.04.2012 01:30:00.000 GMT+0430,124.700,125.360,123.820,124.550,103666
04.04.2012 01:30:00.000 GMT+0430,124.550,124.590,121.820,121.990,105234
05.04.2012 01:30:00.000 GMT+0430,121.990,123.000,121.250,122.610,107877
06.04.2012 01:30:00.000 GMT+0430,122.610,122.720,122.610,122.720,399
07.04.2012 01:30:00.000 GMT+0430,122.720,122.720,122.720,122.720,0
08.04.2012 01:30:00.000 GMT+0430,122.720,122.720,122.720,122.720,0
09.04.2012 01:30:00.000 GMT+0430,122.720,122.720,120.500,122.100,62366
10.04.2012 01:30:00.000 GMT+0430,122.100,122.250,119.120,119.200,115556
11.04.2012 01:30:00.000 GMT+0430,119.200,120.520,118.720,119.680,117226
12.04.2012 01:30:00.000 GMT+0430,119.680,121.730,119.140,121.700,77895
