date,cfr methanol
10/9/2016,243.2920967
10/13/2016,246.4544121
10/14/2016,248.8261486
10/16/2016,251.9884639
10/17/2016,254.3602004
10/19/2016,256.7319369
10/21/2016,258.3130945
10/24/2016,263.8471463
10/25/2016,267.8000405
10/27/2016,270.9623558
10/30/2016,274.1246711
11/3/2016,278.8681441
11/6/2016,280.4493018
11/12/2016,281.2398806
11/17/2016,279.6587229
11/20/2016,281.2398806
11/22/2016,286.7739324
11/24/2016,289.1456689
11/29/2016,290.7268266
12/2/2016,291.5174054
12/3/2016,293.098563
12/5/2016,301.7949302
12/8/2016,311.2818761
12/10/2016,327.8840316
12/11/2016,332.6275046
12/13/2016,338.1615564
12/15/2016,342.9050293
12/18/2016,350.0202388
12/23/2016,350.8108176
12/28/2016,350.8108176
12/29/2016,348.4390812
12/31/2016,344.486187
1/3/2017,343.6956082
1/6/2017,338.1615564
1/8/2017,334.999241
1/11/2017,332.6275046
1/18/2017,334.999241
1/23/2017,340.5332929
1/27/2017,340.5332929
1/31/2017,341.3238717
2/1/2017,342.1144505
2/5/2017,343.6956082
2/6/2017,346.0673447
2/8/2017,349.22966
2/9/2017,351.6013965
2/11/2017,353.973133
2/13/2017,358.716606
2/14/2017,364.2506578
2/16/2017,372.9470249
2/17/2017,378.4810767
2/21/2017,378.4810767
2/24/2017,377.6904979
2/27/2017,375.3187614
3/2/2017,375.3187614
3/4/2017,372.9470249
3/6/2017,371.3658672
3/7/2017,368.9941307
3/9/2017,364.2506578
3/11/2017,362.6695001
3/12/2017,357.1354483
3/14/2017,354.7637118
3/15/2017,353.1825541
3/17/2017,346.0673447
3/19/2017,338.9521352
3/22/2017,327.8840316
3/24/2017,321.5594009
3/25/2017,311.2818761
3/27/2017,309.7007185
3/28/2017,298.6326149
4/1/2017,294.6797207
4/4/2017,297.0514572
4/5/2017,298.6326149
4/9/2017,301.7949302
4/10/2017,298.6326149
4/12/2017,297.0514572
4/15/2017,292.3079842
4/18/2017,288.3550901
4/20/2017,284.4021959
4/25/2017,280.4493018
4/30/2017,279.6587229
5/1/2017,277.2869864
5/3/2017,275.7058288
5/5/2017,273.3340923
5/6/2017,269.3811981
5/8/2017,267.8000405
5/9/2017,266.2188828
5/11/2017,265.428304
5/13/2017,264.6377252
5/16/2017,262.2659887
5/21/2017,263.0565675
5/26/2017,263.8471463
5/31/2017,263.8471463
6/4/2017,262.2659887
6/9/2017,263.0565675
6/11/2017,264.6377252
6/14/2017,267.0094616
6/16/2017,269.3811981
6/19/2017,271.7529346
6/22/2017,273.3340923
6/24/2017,270.9623558
6/27/2017,270.9623558
6/30/2017,272.5435135
7/4/2017,274.9152499
7/5/2017,277.2869864
7/10/2017,280.4493018
7/13/2017,282.0304594
7/17/2017,282.8210383
7/20/2017,283.6116171
7/21/2017,282.8210383
7/23/2017,279.6587229
7/25/2017,278.0775653
7/28/2017,275.7058288
7/29/2017,274.9152499
7/31/2017,275.7058288
8/2/2017,279.6587229
8/3/2017,280.4493018
8/7/2017,282.0304594
8/8/2017,282.8210383
8/11/2017,285.1927747
8/13/2017,285.9833536
8/18/2017,287.5645112
8/20/2017,291.5174054
8/21/2017,295.4702995
8/23/2017,298.6326149
8/24/2017,301.0043513
8/26/2017,304.1666667
8/28/2017,307.328982
8/29/2017,312.8630338
8/31/2017,315.2347703
9/1/2017,326.3028739
9/3/2017,328.6746104
9/5/2017,332.6275046
9/6/2017,345.2767658
9/8/2017,347.6485023
9/10/2017,350.0202388
9/11/2017,356.3448695
9/16/2017,360.2977636
9/18/2017,357.1354483
9/19/2017,353.973133
9/21/2017,352.3919753
9/23/2017,348.4390812
9/26/2017,341.3238717
9/29/2017,336.5803987
10/2/2017,336.5803987
10/7/2017,335.7898199
10/9/2017,335.7898199
10/12/2017,334.2086622
10/17/2017,334.2086622
10/20/2017,334.999241
10/22/2017,336.5803987
10/25/2017,337.3709775
10/31/2017,339.742714
11/5/2017,342.1144505
11/12/2017,343.6956082
11/13/2017,348.4390812
11/15/2017,358.716606
11/17/2017,361.8789213
11/21/2017,364.2506578
11/23/2017,369.7847096
11/28/2017,370.5752884
11/30/2017,373.7376037
12/1/2017,375.3187614
12/3/2017,377.6904979
12/4/2017,378.4810767
12/8/2017,383.2245497
12/9/2017,385.5962862
12/11/2017,396.6643898
12/14/2017,398.2455475
12/16/2017,409.3136511
12/19/2017,415.6382817
12/21/2017,419.5911759
12/24/2017,415.6382817
12/25/2017,412.4759664
12/27/2017,411.6853876
1/1/2018,411.6853876
1/3/2018,412.4759664
1/4/2018,415.6382817
1/6/2018,417.2194394
1/7/2018,418.0100182
1/12/2018,415.6382817
1/14/2018,412.4759664
1/16/2018,410.1042299
1/17/2018,404.5701781
1/19/2018,403.7795993
1/20/2018,399.0361263
1/24/2018,398.2455475
1/27/2018,397.4549686
2/1/2018,394.2926533
2/2/2018,391.9209168
2/4/2018,391.130338
2/7/2018,389.5491803
2/9/2018,387.9680227
2/12/2018,386.386865
2/22/2018,385.5962862
2/23/2018,380.0622344
2/25/2018,374.5281826
2/27/2018,371.3658672
2/28/2018,366.6223943
3/2/2018,365.0412366
3/4/2018,363.4600789
3/7/2018,363.4600789
3/10/2018,363.4600789
3/12/2018,365.8318154
3/13/2018,367.4129731
3/15/2018,368.2035519
3/16/2018,369.7847096
3/21/2018,372.1564461
3/23/2018,373.7376037
3/26/2018,372.9470249
3/28/2018,368.9941307
4/2/2018,367.4129731
4/3/2018,367.4129731
4/8/2018,367.4129731
4/11/2018,369.7847096
4/13/2018,372.9470249
4/16/2018,375.3187614
4/18/2018,376.899919
4/21/2018,376.899919
4/23/2018,382.4339709
4/26/2018,386.386865
4/29/2018,387.1774438
5/2/2018,391.9209168
5/4/2018,395.0832321
5/6/2018,396.6643898
5/7/2018,398.2455475
5/9/2018,400.617284
5/11/2018,406.1513358
5/12/2018,409.3136511
5/14/2018,410.8948087
5/15/2018,415.6382817
5/19/2018,417.2194394
5/20/2018,414.0571241
5/22/2018,412.4759664
5/25/2018,412.4759664
5/28/2018,410.1042299
5/30/2018,409.3136511
6/2/2018,407.7324934
6/5/2018,406.9419146
6/12/2018,402.1984416
6/14/2018,401.4078628
6/15/2018,401.4078628
6/18/2018,401.4078628
6/23/2018,399.8267051
6/27/2018,398.2455475
6/30/2018,397.4549686
7/5/2018,395.873811
7/11/2018,394.2926533
7/18/2018,388.7586015
7/19/2018,388.7586015
7/22/2018,389.5491803
